"num_events","num_tunnels","coldness"
1007.33333333333333332326,3,0.0
3826.37499999999999998686,4,0.1
14735.14642857142857140729,15,0.2
17099.44761904761904754865,24,0.3
15127.96309523809523805533,16,0.4
23708.83333333333333321335,29,0.5
29657.13690476190476170289,26,0.6
21928.06904761904761893554,26,0.7
32467.89999999999999987843,48,0.8
52149.34285714285714268574,54,0.9
27557.92142857142857132351,25,1.0
29701.04642857142857129320,22,1.1
33046.38690476190476186340,29,1.2
7524.03214285714285708395,11,1.3
9976.83333333333333331200,14,1.4
6303.01666666666666664066,9,1.5
3865.89999999999999996834,1,1.6
3966.98214285714285710858,3,1.7
1262.99999999999999998737,4,1.9
2554.33333333333333330779,2,2.0
