"num_events","num_tunnels","divinity"
1007.33333333333333332326,3,0.0
6702.36666666666666665285,9,0.1
14961.16666666666666660965,22,0.2
31636.29880952380952365236,20,0.3
45755.97619047619047598699,42,0.4
15152.93333333333333327405,22,0.5
35855.72976190476190454455,35,0.6
26675.21666666666666661971,31,0.7
33817.13333333333333316631,37,0.8
33459.18809523809523793397,43,0.9
14536.73333333333333330714,9,1.0
13565.83095238095238093881,17,1.1
39342.31785714285714276302,42,1.2
8983.60833333333333325227,13,1.3
16015.16666666666666660120,20,1.4
719.00000000000000000000,0,NULL
