,real_attacks,real_attacks_on_soul,real_attacks_with_soul,defended_cannons,defended_cannons_on_soul,defended_cannons_with_soul,defended_item,defended_item_on_soul,defended_item_with_soul,defended_chair,defended_chair_on_soul,defended_chair_with_soul,defended_detective,defended_detective_on_soul,defended_detective_with_soul
105bc3ff-1320-4e37-8ef0-8d595cb95dd0,152.0,138.0,149.0,3.0,2.0,3.0,19.0,9.0,13.0,6.0,5.0,6.0,7.0,6.0,7.0
23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,3.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2e22beba-8e36-42ba-a8bf-975683c52b5f,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36569151-a2fb-43c1-9df7-2df512424c82,116.0,94.0,97.0,0.0,0.0,0.0,26.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0
3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,11.0,0.0,3.0,9.0,1.0,1.0,43.0,14.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0
46358869-dce9-4a01-bfba-ac24fc56f57e,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0
57ec08cc-0411-4643-b304-0e80dbc15ac7,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
747b8e4a-7e50-4638-a973-ea7950a3e739,15.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7966eb04-efcc-499b-8f03-d13916330531,13.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
878c1bf6-0d21-4659-bfee-916c8314d69c,4.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8d87c468-699a-47a8-b40d-cfb73a5660ad,18.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0
979aee4a-6d80-4863-bf1c-ee1a78e06024,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,9.0,0.0,0.0,6.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
a37f9158-7f82-46bc-908c-c9e2dda7c33b,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
adc5b394-8f76-416d-9ce9-813706877b84,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b024e975-1c4a-4575-8936-a3754a08806a,6.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
b47df036-3aa4-4b98-8e9e-fe1d3ff1894b,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b63be8c2-576a-4d6e-8daf-814f8bcea96f,9.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
b72f3061-f573-40d7-832a-5ad475bd7909,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
bb4a9de5-c924-4923-a0cb-9d1445f1ee5d,8.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,17.0,5.0,6.0
bfd38797-8404-4b38-8b82-341da28b1f83,6.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
c73b705c-40ad-4633-a6ed-d357ee2e2bcf,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,3.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
d9f89a8a-c563-493e-9d64-78e4f9a55d4a,3.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,2.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
f02aeae2-5e6a-4098-9842-02d2273f25c7,5.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0
