"num_events","num_tunnels","buoyancy"
3542.31666666666666663484,3,0.0
9293.26666666666666662300,3,0.1
13643.74880952380952373252,20,0.2
25358.87499999999999995146,30,0.3
23920.69642857142857135486,24,0.4
38307.28333333333333318648,41,0.5
31328.24999999999999986735,27,0.6
29674.16904761904761884789,28,0.7
49365.29047619047619027706,47,0.8
24525.77142857142857131013,32,0.9
24558.69880952380952378647,36,1.0
29779.24166666666666653545,38,1.1
15721.35595238095238087015,22,1.2
6957.08333333333333328595,4,1.3
265.94642857142857142342,1,1.4
11225.00595238095238093911,9,1.5
494.00000000000000000000,0,NULL
