"num_events","num_tunnels","continuation"
1201.00000000000000000000,3,0.0
20683.99999999999999990240,21,0.1
8060.99999999999999997454,11,0.2
27541.99999999999999990937,39,0.3
29650.99999999999999990884,32,0.4
28490.99999999999999987363,29,0.5
38163.99999999999999985012,37,0.6
26543.99999999999999991657,21,0.7
17423.99999999999999994171,29,0.8
47599.99999999999999978451,45,0.9
48982.99999999999999974791,41,1.0
6695.99999999999999998439,10,1.1
7626.99999999999999997040,12,1.2
6807.99999999999999997277,6,1.3
10562.99999999999999995826,17,1.4
9590.99999999999999993829,12,1.5
1908.99999999999999999423,0,1.6
641.99999999999999999704,0,1.8
319.99999999999999999360,0,1.9
2131.00000000000000000000,1,NULL
