"num_events","num_tunnels","omniscience"
4309.99999999999999998975,7,0.0
4957.99999999999999998272,6,0.1
19159.99999999999999990536,26,0.2
39657.99999999999999986682,38,0.3
39344.99999999999999984087,50,0.4
27018.99999999999999986626,32,0.5
31961.99999999999999989310,34,0.6
15716.99999999999999996870,13,0.7
31137.99999999999999984469,39,0.8
46017.99999999999999979338,43,0.9
20251.99999999999999992625,21,1.0
18775.99999999999999990903,14,1.1
22882.99999999999999991889,29,1.2
12571.99999999999999993685,10,1.3
1908.99999999999999999423,0,1.4
550.99999999999999999449,0,1.5
3643.99999999999999998170,4,1.6
930.00000000000000000000,0,NULL
